,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
37448,87448,5,33,172,20,172,20
37449,87449,1,170,353,24,346,20
37450,87450,2,49,428,11,425,7
37451,87451,3,136,384,85,398,66
37452,87452,2,154,372,55,376,36
37453,87453,4,101,419,78,446,63
37454,87454,4,117,434,107,428,76
37455,87455,5,89,49,73,54,62
37456,87456,5,115,52,100,65,72
37457,87457,2,126,409,44,407,33
37458,87458,3,144,395,83,403,58
37459,87459,1,4,610,0,610,0
37460,87460,1,117,407,5,403,4
37461,87461,5,43,35,30,40,26
37462,87462,1,175,346,21,341,20
37463,87463,2,151,368,73,367,57
37464,87464,2,76,471,10,470,9
37465,87465,5,78,42,53,41,40
37466,87466,5,151,62,123,67,114
37467,87467,2,83,483,15,481,9
37468,87468,2,163,367,67,364,46
37469,87469,1,6,6,0,6,0
37470,87470,1,136,378,8,378,6
37471,87471,4,3,3,0,3,0
37472,87472,2,149,387,61,387,40
37473,87473,5,43,155,37,148,29
37474,87474,1,123,409,10,409,6
37475,87475,4,103,437,73,437,61
37476,87476,5,4,4,0,4,0
37477,87477,4,51,460,26,481,20
37478,87478,3,9,607,0,607,0
37479,87479,5,130,61,108,68,90
37480,87480,2,172,346,74,348,54
37481,87481,5,32,110,22,101,19
37482,87482,3,114,409,68,415,55
37483,87483,1,123,411,7,406,6
37484,87484,4,115,427,88,452,61
37485,87485,3,178,362,119,362,83
37486,87486,1,212,328,31,323,30
37487,87487,4,19,598,3,483,0
37488,87488,1,173,349,21,352,17
37489,87489,3,125,415,81,408,52
37490,87490,2,156,356,57,354,36
37491,87491,5,114,44,103,61,82
37492,87492,4,23,488,13,506,7
37493,87493,4,56,454,36,508,32
37494,87494,3,99,473,42,463,40
37495,87495,2,117,416,37,413,24
37496,87496,3,164,381,120,393,74
37497,87497,3,120,413,67,427,48
37498,87498,5,125,51,96,57,85
37499,87499,2,3,3,0,3,0
37500,87500,2,167,379,67,362,44
37501,87501,5,47,44,33,63,24
37502,87502,2,37,469,3,456,2
37503,87503,4,3,3,0,3,0
37504,87504,3,144,422,88,408,48
37505,87505,3,93,435,70,438,47
37506,87506,4,57,469,33,506,27
37507,87507,5,179,89,155,97,132
37508,87508,2,155,369,78,362,35
37509,87509,2,135,390,44,392,25
37510,87510,4,24,586,4,586,4
37511,87511,5,21,210,16,212,7
37512,87512,4,17,580,10,492,9
37513,87513,1,154,370,10,367,7
37514,87514,1,40,544,2,544,2
37515,87515,2,11,145,1,145,1
37516,87516,2,115,419,31,414,20
37517,87517,2,10,10,0,10,0
37518,87518,2,135,391,45,382,33
37519,87519,1,13,13,0,13,0
37520,87520,2,147,367,43,362,40
37521,87521,3,9,609,5,581,3
37522,87522,5,131,52,110,65,93
37523,87523,2,110,430,44,430,31
37524,87524,2,42,431,8,417,6
37525,87525,1,17,590,0,590,0
