,count,cnn_hits,ga_hits,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
1,199,52,58,2022,1557,0.9837427135678392,0.9874814070351758
2,189,34,37,6695,4955,0.9433227513227513,0.95805291005291
3,197,27,28,11928,8626,0.9031228426395939,0.929941116751269
4,217,15,21,18148,12872,0.8661898617511521,0.9050912442396314
5,199,3,18,15873,11880,0.8723778894472362,0.9044824120603016
