,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
49188,99188,4,138,406,139,422,85
49189,99189,4,178,402,159,404,92
49190,99190,1,137,393,18,396,13
49191,99191,1,83,440,5,439,4
49192,99192,4,48,511,10,531,7
49193,99193,4,130,407,149,431,93
49194,99194,2,85,445,23,445,13
49195,99195,5,124,83,117,77,79
49196,99196,5,146,83,130,68,109
49197,99197,2,40,387,5,381,1
49198,99198,5,114,62,103,56,68
49199,99199,3,8,574,7,565,4
49200,99200,1,50,525,0,526,0
49201,99201,1,12,574,0,598,0
49202,99202,5,129,81,121,67,84
49203,99203,3,123,434,95,439,55
49204,99204,2,3,85,0,3,0
49205,99205,4,173,386,161,394,111
49206,99206,1,144,381,21,384,16
49207,99207,5,146,82,153,71,105
49208,99208,4,58,486,52,496,34
49209,99209,4,126,400,126,427,77
49210,99210,4,54,515,54,531,23
49211,99211,5,79,49,74,57,35
49212,99212,4,63,483,49,493,31
49213,99213,5,86,51,62,42,51
49214,99214,5,85,61,65,56,51
49215,99215,4,162,414,119,414,98
49216,99216,2,168,357,81,357,50
49217,99217,2,4,88,0,4,0
49218,99218,5,120,78,94,63,71
49219,99219,5,21,279,19,269,10
49220,99220,3,72,468,50,485,23
49221,99221,1,171,353,22,355,21
49222,99222,2,28,244,10,245,3
49223,99223,5,166,81,138,83,106
49224,99224,4,104,417,94,437,58
49225,99225,3,129,394,82,405,46
49226,99226,4,124,404,111,427,79
49227,99227,4,119,424,116,455,70
49228,99228,3,167,362,136,378,83
49229,99229,4,102,438,103,455,63
49230,99230,4,157,383,180,423,96
49231,99231,3,17,574,2,592,2
49232,99232,2,167,371,66,368,52
49233,99233,5,149,80,141,69,108
49234,99234,2,33,364,9,356,5
49235,99235,1,128,384,11,385,7
49236,99236,1,45,530,0,535,0
49237,99237,3,18,574,7,592,5
49238,99238,5,10,307,9,292,6
49239,99239,1,177,353,32,360,24
49240,99240,1,5,574,5,613,0
49241,99241,1,6,574,5,612,0
49242,99242,4,127,416,125,436,72
49243,99243,1,10,574,6,585,0
49244,99244,5,43,63,28,72,16
49245,99245,5,137,81,130,69,93
49246,99246,4,94,446,70,461,44
49247,99247,5,18,312,10,312,2
49248,99248,1,119,401,4,397,3
49249,99249,3,151,378,127,389,69
49250,99250,4,53,496,30,538,21
49251,99251,4,110,435,96,445,53
49252,99252,5,43,53,34,51,21
49253,99253,4,35,535,31,545,15
49254,99254,1,56,509,4,508,3
49255,99255,1,173,344,33,349,25
49256,99256,5,145,88,113,71,93
49257,99257,3,132,409,87,403,54
49258,99258,5,139,88,120,75,89
49259,99259,2,142,386,43,382,29
49260,99260,5,44,132,35,124,27
49261,99261,2,152,378,62,373,41
49262,99262,2,27,262,5,259,1
49263,99263,3,50,523,22,513,11
49264,99264,4,23,574,16,570,10
49265,99265,2,168,364,44,366,30
49266,99266,3,161,370,127,388,86
49267,99267,4,115,409,99,431,65
49268,99268,2,115,414,54,412,30
49269,99269,1,144,364,25,369,18
49270,99270,1,30,542,0,554,0
49271,99271,1,19,574,1,583,0
49272,99272,4,77,484,69,507,42
49273,99273,5,156,93,172,76,112
49274,99274,3,63,514,32,495,15
49275,99275,5,120,76,119,64,79
49276,99276,5,106,70,103,52,70
49277,99277,5,148,92,145,66,101
49278,99278,2,106,402,36,399,16
49279,99279,1,127,390,16,391,13
49280,99280,2,8,152,0,8,0
49281,99281,5,145,96,133,74,100
49282,99282,4,163,390,142,414,98
49283,99283,1,59,508,1,511,1
49284,99284,4,137,406,131,426,85
49285,99285,1,26,566,0,574,0
49286,99286,3,95,441,82,437,36
49287,99287,1,198,328,29,326,26
49288,99288,2,40,408,2,417,1
49289,99289,4,142,393,131,411,93
49290,99290,3,14,574,3,14,2
49291,99291,1,6,574,1,609,0
49292,99292,1,147,366,16,366,10
49293,99293,2,43,467,0,475,0
49294,99294,1,33,548,0,558,0
49295,99295,4,110,423,98,441,67
49296,99296,3,7,574,0,609,0
49297,99297,1,82,467,6,465,5
49298,99298,3,82,459,59,462,36
49299,99299,2,156,358,93,361,45
49300,99300,3,159,377,141,391,88
49301,99301,1,164,364,22,362,18
49302,99302,1,9,574,8,605,0
49303,99303,3,121,410,90,411,57
49304,99304,5,105,73,96,52,78
49305,99305,2,136,381,68,373,43
49306,99306,5,34,78,37,73,15
49307,99307,4,58,495,50,516,30
49308,99308,1,58,510,5,500,3
49309,99309,4,146,383,141,415,78
49310,99310,3,159,377,128,387,78
49311,99311,1,27,558,0,563,0
49312,99312,2,115,410,30,410,16
49313,99313,5,134,75,136,71,87
49314,99314,5,17,218,15,214,9
49315,99315,2,84,466,24,464,11
49316,99316,4,34,541,18,519,13
49317,99317,1,7,574,2,608,0
49318,99318,1,20,569,0,574,0
49319,99319,5,40,123,16,130,10
49320,99320,5,49,65,41,62,21
49321,99321,5,98,59,70,58,54
49322,99322,3,93,450,62,457,30
49323,99323,2,133,393,59,384,28
49324,99324,1,169,346,25,350,23
49325,99325,4,151,393,150,410,93
49326,99326,4,48,510,43,525,21
49327,99327,3,127,385,114,391,67
49328,99328,4,52,494,41,509,21
49329,99329,1,131,394,12,396,10
49330,99330,3,149,391,126,398,74
49331,99331,3,144,380,108,393,60
49332,99332,5,104,74,97,67,55
49333,99333,4,131,414,130,438,78
49334,99334,5,176,88,178,72,124
49335,99335,4,109,427,101,452,64
49336,99336,4,79,470,60,492,48
49337,99337,2,63,497,11,492,6
49338,99338,5,34,155,40,152,19
49339,99339,2,142,371,69,369,45
49340,99340,5,92,61,67,56,49
49341,99341,2,6,106,0,6,0
49342,99342,1,89,439,7,443,7
49343,99343,4,184,373,178,398,107
49344,99344,5,3,493,8,492,0
49345,99345,4,136,394,122,406,87
49346,99346,4,41,532,26,531,14
49347,99347,4,51,523,38,503,23
49348,99348,2,139,381,50,374,34
49349,99349,3,110,424,67,415,47
49350,99350,3,151,393,101,392,68
49351,99351,3,6,574,3,6,0
49352,99352,3,8,574,0,8,0
49353,99353,1,132,391,12,390,7
49354,99354,3,145,395,128,414,76
49355,99355,3,146,376,114,383,79
49356,99356,4,120,424,109,450,73
49357,99357,5,151,83,136,80,101
49358,99358,2,133,384,33,388,22
49359,99359,5,146,82,123,74,95
49360,99360,2,11,134,0,143,0
49361,99361,1,54,494,3,479,2
49362,99362,1,23,574,0,579,0
49363,99363,2,180,351,96,343,61
49364,99364,3,46,535,24,519,17
49365,99365,1,165,341,21,346,17
49366,99366,1,104,452,12,453,11
49367,99367,2,109,422,32,427,20
49368,99368,1,8,574,8,8,0
49369,99369,1,139,377,16,377,10
49370,99370,3,48,518,20,523,14
49371,99371,3,35,555,24,539,15
49372,99372,4,62,475,52,496,26
49373,99373,1,71,483,5,480,4
49374,99374,1,13,574,0,590,0
49375,99375,2,8,210,0,227,0
49376,99376,4,43,507,31,532,23
49377,99377,5,110,68,106,66,62
49378,99378,5,137,78,124,73,84
49379,99379,5,93,69,102,51,66
49380,99380,3,30,550,7,526,2
49381,99381,1,153,355,18,355,14
49382,99382,2,76,472,26,468,15
49383,99383,4,11,574,28,575,9
49384,99384,1,176,347,27,348,15
49385,99385,2,149,379,56,379,40
49386,99386,2,44,385,7,386,7
49387,99387,5,147,79,127,79,101
49388,99388,4,127,408,129,437,83
49389,99389,1,67,468,7,470,4
49390,99390,2,15,283,0,294,0
49391,99391,2,151,361,80,356,49
49392,99392,5,18,403,20,407,7
49393,99393,3,59,509,20,496,14
49394,99394,4,61,464,45,481,22
49395,99395,3,100,446,75,443,39
49396,99396,2,19,403,1,401,0
49397,99397,2,155,366,52,372,28
49398,99398,3,162,389,132,397,78
49399,99399,1,47,521,0,528,0
49400,99400,3,170,362,139,364,83
49401,99401,3,64,479,42,477,26
49402,99402,1,123,383,13,384,13
49403,99403,1,122,398,7,399,6
49404,99404,3,6,574,0,609,0
49405,99405,5,140,88,141,80,90
49406,99406,1,6,574,5,612,0
49407,99407,1,127,380,13,382,9
49408,99408,4,129,404,117,429,68
49409,99409,4,3,574,11,3,0
49410,99410,4,3,574,11,3,0
49411,99411,3,150,372,115,382,68
49412,99412,1,5,574,8,5,0
49413,99413,5,75,51,65,37,44
49414,99414,3,20,574,13,588,2
49415,99415,2,131,404,43,401,28
49416,99416,3,3,574,10,617,0
49417,99417,1,26,552,0,564,0
49418,99418,5,125,76,131,59,96
49419,99419,1,18,574,0,18,0
49420,99420,2,162,364,65,363,43
49421,99421,1,62,510,0,511,0
49422,99422,1,93,454,7,457,7
49423,99423,5,153,91,154,80,99
49424,99424,1,130,396,12,397,10
49425,99425,1,142,368,22,363,15
49426,99426,5,66,50,59,52,39
49427,99427,4,29,574,27,573,7
49428,99428,5,44,93,40,89,31
49429,99429,4,148,384,155,415,96
49430,99430,3,125,412,67,407,42
49431,99431,4,112,425,91,440,51
49432,99432,4,137,394,122,404,85
49433,99433,3,15,574,0,595,0
49434,99434,3,90,441,68,451,41
49435,99435,5,168,93,172,74,111
49436,99436,1,5,574,7,5,0
49437,99437,1,156,367,16,367,13
49438,99438,2,89,439,35,440,18
49439,99439,1,4,570,6,4,0
49440,99440,2,127,388,62,389,33
49441,99441,2,21,330,0,336,0
49442,99442,4,139,399,128,419,92
49443,99443,2,55,386,8,386,5
49444,99444,2,40,398,10,393,8
49445,99445,1,97,449,8,444,4
49446,99446,4,137,410,119,424,80
49447,99447,4,155,398,155,408,97
49448,99448,5,39,108,34,103,22
49449,99449,3,104,433,75,433,39
49450,99450,2,170,361,83,363,49
49451,99451,4,107,432,94,450,53
49452,99452,5,141,73,125,73,85
49453,99453,4,53,505,42,515,29
49454,99454,2,140,371,73,373,37
49455,99455,4,8,574,11,8,0
49456,99456,1,172,340,26,342,23
49457,99457,4,161,380,154,402,97
49458,99458,4,162,374,176,406,111
49459,99459,1,162,350,23,347,19
49460,99460,2,137,376,49,377,33
49461,99461,3,138,383,85,392,60
49462,99462,3,143,397,105,415,68
