,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
40776,90776,1,141,383,14,381,9
40777,90777,3,128,397,95,397,55
40778,90778,1,92,452,2,450,1
40779,90779,3,3,617,0,617,0
40780,90780,5,57,77,43,81,29
40781,90781,1,167,350,22,352,17
40782,90782,2,142,363,65,366,43
40783,90783,4,57,504,45,466,29
40784,90784,1,109,421,8,420,5
40785,90785,1,14,592,0,592,0
40786,90786,2,20,284,2,284,1
40787,90787,1,149,375,11,372,9
40788,90788,1,182,335,31,331,19
40789,90789,2,101,419,31,407,17
40790,90790,4,139,406,128,418,92
40791,90791,4,98,456,83,439,48
40792,90792,4,141,404,150,403,86
40793,90793,2,74,470,18,453,11
40794,90794,1,180,346,28,344,22
40795,90795,1,160,373,14,369,9
40796,90796,4,122,435,87,422,71
40797,90797,4,165,399,158,380,122
40798,90798,5,29,209,32,216,15
40799,90799,1,3,612,0,612,0
40800,90800,4,110,438,128,439,64
40801,90801,3,193,378,146,381,89
40802,90802,1,106,423,10,424,9
40803,90803,4,10,600,0,10,0
40804,90804,1,99,431,6,431,6
40805,90805,3,166,365,127,366,78
40806,90806,5,85,56,62,65,43
40807,90807,1,13,590,0,590,0
40808,90808,3,17,590,3,590,3
40809,90809,5,29,92,29,98,18
40810,90810,1,178,347,28,353,23
40811,90811,3,109,428,76,425,43
40812,90812,5,165,87,151,90,113
40813,90813,1,12,592,0,592,0
40814,90814,2,140,381,46,382,24
40815,90815,3,4,617,0,4,0
40816,90816,4,106,447,70,429,53
40817,90817,4,134,394,113,395,79
40818,90818,2,3,86,0,3,0
40819,90819,3,147,405,80,394,43
40820,90820,3,112,450,84,431,39
40821,90821,4,65,497,48,451,25
40822,90822,5,141,77,139,85,93
40823,90823,2,94,443,42,441,17
40824,90824,1,72,473,5,468,4
40825,90825,2,136,384,68,380,41
40826,90826,1,8,596,1,9,0
40827,90827,3,161,395,126,386,79
40828,90828,1,130,377,13,380,11
40829,90829,5,171,87,153,93,124
40830,90830,4,158,407,164,404,95
40831,90831,4,107,443,93,425,50
40832,90832,1,145,369,21,373,11
40833,90833,2,164,369,68,373,47
40834,90834,2,104,434,34,427,23
40835,90835,2,5,99,0,99,0
40836,90836,3,134,390,129,388,65
40837,90837,2,77,428,19,425,12
40838,90838,3,4,617,0,4,0
40839,90839,3,159,361,138,366,87
40840,90840,4,66,510,42,464,29
40841,90841,4,118,418,124,404,69
40842,90842,4,114,419,125,417,77
40843,90843,1,170,342,26,344,20
40844,90844,5,97,61,65,71,44
40845,90845,5,15,274,6,15,0
40846,90846,3,96,440,77,425,39
40847,90847,5,106,70,88,64,74
40848,90848,2,134,413,42,410,31
40849,90849,1,90,451,3,451,3
40850,90850,4,8,594,7,496,2
40851,90851,1,163,351,26,349,19
40852,90852,3,79,470,44,456,31
40853,90853,3,137,388,136,382,73
40854,90854,5,125,78,113,75,78
40855,90855,5,125,75,108,77,73
40856,90856,2,103,417,39,415,25
40857,90857,4,93,437,89,418,58
40858,90858,5,182,95,181,99,136
40859,90859,4,8,605,0,8,0
40860,90860,3,13,592,0,592,0
40861,90861,5,72,46,58,68,35
40862,90862,3,161,385,127,385,83
40863,90863,5,103,57,74,70,58
40864,90864,5,132,86,130,85,83
40865,90865,3,6,614,0,6,0
40866,90866,2,141,410,44,417,30
40867,90867,4,6,602,7,6,0
40868,90868,2,147,369,49,366,36
40869,90869,4,116,414,99,409,73
40870,90870,4,75,468,60,445,41
40871,90871,5,44,32,34,39,23
40872,90872,3,181,368,139,363,89
40873,90873,1,74,461,3,461,3
40874,90874,1,119,409,11,406,9
40875,90875,3,136,407,110,403,61
40876,90876,5,45,26,20,43,16
40877,90877,2,183,343,93,346,66
40878,90878,2,85,464,30,452,16
40879,90879,2,141,390,55,379,32
40880,90880,2,95,458,26,448,13
40881,90881,3,160,365,152,376,82
40882,90882,1,42,529,3,512,2
40883,90883,3,16,591,2,591,2
40884,90884,3,40,541,13,503,7
40885,90885,2,23,428,2,417,0
40886,90886,1,131,382,13,382,11
40887,90887,3,70,495,34,465,23
40888,90888,2,188,358,77,360,48
40889,90889,2,41,492,8,472,1
40890,90890,2,7,128,0,7,0
40891,90891,1,117,410,11,410,7
40892,90892,3,83,445,55,438,34
40893,90893,5,180,85,162,88,124
40894,90894,2,139,401,46,393,32
40895,90895,5,122,80,121,72,87
40896,90896,1,129,375,9,372,7
40897,90897,3,4,617,0,4,0
40898,90898,1,125,402,10,397,8
40899,90899,2,140,350,79,346,45
40900,90900,5,189,95,170,90,129
40901,90901,5,146,90,149,95,104
40902,90902,3,3,616,0,616,0
40903,90903,3,156,376,116,371,77
40904,90904,5,182,94,188,101,129
40905,90905,4,17,567,8,485,6
40906,90906,5,26,264,26,277,12
40907,90907,1,53,509,1,509,1
40908,90908,5,137,82,116,84,80
40909,90909,2,108,437,45,426,22
40910,90910,5,70,123,84,135,50
40911,90911,5,76,42,57,56,45
40912,90912,5,139,85,134,90,90
40913,90913,4,125,434,95,412,68
40914,90914,2,167,352,81,352,52
40915,90915,2,170,346,97,351,53
40916,90916,4,131,407,104,408,72
40917,90917,4,11,593,2,11,0
40918,90918,5,33,209,25,226,16
40919,90919,5,101,66,97,88,78
40920,90920,1,157,362,25,357,20
40921,90921,4,54,514,39,476,33
40922,90922,3,62,486,37,468,20
40923,90923,2,29,309,11,306,5
40924,90924,4,126,408,106,395,73
40925,90925,3,153,389,121,383,76
40926,90926,2,22,289,4,289,4
40927,90927,1,139,390,15,389,11
40928,90928,1,131,392,12,388,7
40929,90929,4,159,388,160,392,102
40930,90930,2,117,408,55,407,33
40931,90931,1,96,425,7,426,6
40932,90932,1,120,418,16,415,11
40933,90933,3,7,608,0,608,0
40934,90934,1,6,607,0,6,0
40935,90935,2,143,376,69,375,40
40936,90936,5,102,62,107,83,70
40937,90937,1,197,334,37,330,31
40938,90938,4,135,414,123,401,85
40939,90939,1,167,353,24,354,14
40940,90940,2,36,355,0,355,0
40941,90941,5,58,44,65,51,35
40942,90942,2,176,362,75,356,54
40943,90943,1,67,483,0,483,0
40944,90944,1,132,402,17,399,14
40945,90945,3,14,605,2,605,2
40946,90946,1,64,500,0,500,0
40947,90947,3,50,523,31,485,18
40948,90948,2,173,366,78,362,48
40949,90949,2,119,415,28,405,19
40950,90950,1,14,584,5,549,0
40951,90951,1,26,560,0,560,0
40952,90952,4,152,395,167,394,108
40953,90953,4,7,603,2,7,0
40954,90954,2,173,374,48,373,37
40955,90955,5,121,81,104,93,78
40956,90956,3,82,443,40,434,23
40957,90957,2,122,391,53,386,29
40958,90958,2,31,328,5,320,4
40959,90959,3,130,414,111,411,70
40960,90960,3,53,532,24,480,13
40961,90961,5,75,50,60,69,50
40962,90962,4,142,406,136,414,82
40963,90963,1,80,454,5,450,3
40964,90964,3,129,406,98,401,56
40965,90965,3,147,392,112,394,73
40966,90966,4,112,461,93,439,61
40967,90967,4,117,432,115,406,75
40968,90968,1,99,438,12,440,8
40969,90969,2,34,401,2,402,1
40970,90970,1,85,462,5,463,4
40971,90971,1,133,376,11,374,7
40972,90972,5,57,137,52,148,25
40973,90973,1,128,381,13,379,9
40974,90974,4,151,403,121,400,90
40975,90975,1,161,350,24,353,19
40976,90976,3,34,539,23,485,12
40977,90977,5,4,490,3,4,0
40978,90978,1,179,327,28,333,22
40979,90979,3,145,392,101,402,66
40980,90980,3,175,359,148,362,90
40981,90981,2,108,404,43,404,22
40982,90982,4,43,510,30,474,23
40983,90983,2,173,349,99,340,53
40984,90984,2,164,367,58,362,44
40985,90985,4,117,402,106,403,65
40986,90986,5,169,91,157,93,138
40987,90987,5,138,85,152,75,98
40988,90988,4,144,397,161,396,110
40989,90989,3,28,563,8,508,3
40990,90990,3,51,537,33,485,18
40991,90991,3,56,507,12,493,7
40992,90992,2,23,251,4,253,2
40993,90993,3,127,401,94,397,60
40994,90994,1,197,332,31,324,22
40995,90995,2,40,391,6,384,2
40996,90996,3,112,429,85,421,42
40997,90997,4,8,605,0,8,0
40998,90998,3,10,605,0,10,0
40999,90999,1,89,446,7,444,5
41000,91000,3,146,400,108,396,71
41001,91001,4,141,392,144,391,88
41002,91002,5,81,59,80,82,57
41003,91003,3,95,443,65,438,34
41004,91004,5,122,78,109,76,80
41005,91005,1,135,382,14,378,11
41006,91006,4,125,391,139,394,93
41007,91007,3,150,363,135,372,94
41008,91008,4,15,590,1,590,1
41009,91009,5,105,67,86,72,56
41010,91010,4,142,411,119,395,80
41011,91011,4,144,402,147,402,98
41012,91012,1,179,335,16,334,15
41013,91013,5,70,48,47,48,35
41014,91014,2,45,357,6,354,2
41015,91015,2,106,428,45,419,30
41016,91016,2,25,423,0,25,0
41017,91017,5,26,153,9,161,6
41018,91018,4,37,549,29,469,15
41019,91019,1,35,542,0,542,0
41020,91020,1,34,549,0,549,0
41021,91021,5,37,33,24,51,16
41022,91022,5,162,92,151,93,129
41023,91023,4,16,584,0,16,0
41024,91024,2,49,524,9,509,7
41025,91025,2,6,107,0,6,0
41026,91026,1,138,393,15,395,11
41027,91027,2,21,360,0,21,0
41028,91028,5,127,78,94,77,88
41029,91029,5,23,210,57,232,10
41030,91030,2,4,89,0,4,0
41031,91031,1,170,350,25,348,17
41032,91032,5,109,61,75,71,57
41033,91033,1,127,391,13,387,10
41034,91034,3,35,513,11,481,8
41035,91035,4,7,595,7,500,4
41036,91036,4,12,581,6,486,0
41037,91037,1,4,612,0,4,0
41038,91038,1,103,427,15,429,8
41039,91039,2,155,372,62,369,41
41040,91040,5,88,58,79,72,54
41041,91041,1,136,382,13,383,8
41042,91042,3,183,368,134,372,101
41043,91043,4,146,390,145,403,93
41044,91044,2,141,377,68,374,45
41045,91045,2,19,185,8,183,4
41046,91046,4,126,422,119,402,73
41047,91047,1,132,393,18,387,14
41048,91048,1,153,362,22,360,18
41049,91049,1,156,374,15,372,14
41050,91050,4,161,372,181,388,106
41051,91051,1,108,424,11,425,9
41052,91052,5,121,78,114,78,68
41053,91053,5,115,78,94,80,64
41054,91054,2,142,360,61,359,38
41055,91055,2,142,373,70,367,32
41056,91056,2,165,347,71,347,55
41057,91057,4,86,464,62,427,39
41058,91058,2,24,338,2,338,2
41059,91059,3,103,431,74,428,37
41060,91060,5,138,78,121,86,95
41061,91061,2,93,429,30,430,16
41062,91062,4,19,582,17,490,5
41063,91063,5,53,110,50,123,21
41064,91064,3,97,449,62,433,38
41065,91065,1,116,407,11,404,6
41066,91066,1,147,389,16,386,12
41067,91067,4,99,447,96,441,56
41068,91068,1,171,339,37,334,21
41069,91069,5,28,148,28,167,19
41070,91070,2,161,376,66,379,37
41071,91071,1,48,508,2,502,1
41072,91072,5,134,80,124,79,82
41073,91073,5,55,46,55,56,35
41074,91074,3,3,609,2,574,0
41075,91075,5,56,41,50,50,21
41076,91076,4,14,573,2,14,0
41077,91077,4,170,386,159,378,99
41078,91078,5,6,458,0,6,0
41079,91079,3,37,537,23,497,11
41080,91080,2,156,391,68,384,41
41081,91081,5,120,75,117,79,82
41082,91082,2,6,105,0,6,0
41083,91083,2,18,264,3,18,0
41084,91084,3,69,498,45,472,23
41085,91085,1,160,353,22,358,19
41086,91086,4,46,524,20,479,14
41087,91087,1,10,601,0,601,0
41088,91088,2,169,357,64,358,48
41089,91089,3,171,376,131,382,77
41090,91090,5,128,77,134,80,88
41091,91091,1,29,575,1,575,1
41092,91092,3,6,608,0,6,0
41093,91093,5,7,347,17,354,0
41094,91094,1,131,382,10,378,6
41095,91095,5,5,469,6,475,2
41096,91096,5,50,77,42,100,22
41097,91097,2,66,502,16,490,4
41098,91098,4,26,557,26,472,9
41099,91099,5,57,41,56,57,34
41100,91100,2,57,461,10,451,4
41101,91101,2,21,380,2,380,2
41102,91102,2,170,363,70,364,55
41103,91103,3,93,439,73,432,46
41104,91104,1,82,482,6,472,4
41105,91105,2,171,366,63,361,41
41106,91106,5,141,86,129,72,85
41107,91107,2,16,227,4,223,1
41108,91108,5,45,93,26,102,17
41109,91109,2,115,392,44,384,28
41110,91110,5,141,75,122,80,90
41111,91111,2,108,421,45,416,19
41112,91112,4,11,596,7,507,5
41113,91113,4,47,505,37,466,13
41114,91114,4,174,376,164,378,122
41115,91115,4,153,393,159,391,104
41116,91116,4,37,560,22,478,3
41117,91117,5,31,178,43,191,12
41118,91118,1,88,445,5,442,4
41119,91119,4,235,362,218,348,168
41120,91120,1,109,409,3,409,3
41121,91121,5,87,59,69,72,42
41122,91122,3,113,418,87,420,49
41123,91123,3,30,579,0,579,0
41124,91124,2,148,350,80,356,42
41125,91125,3,140,388,99,384,62
41126,91126,2,8,103,0,103,0
41127,91127,3,134,399,100,393,59
41128,91128,3,134,406,90,393,52
41129,91129,4,118,426,103,413,71
41130,91130,3,9,610,1,610,1
41131,91131,4,111,445,107,430,71
41132,91132,1,135,384,12,383,10
41133,91133,2,90,453,38,449,15
41134,91134,2,111,422,28,420,19
41135,91135,5,134,83,153,79,103
41136,91136,1,127,385,14,385,11
41137,91137,3,105,459,57,438,31
41138,91138,5,123,79,108,82,86
41139,91139,3,13,594,9,548,3
41140,91140,5,144,80,129,81,92
41141,91141,1,176,337,25,335,22
41142,91142,3,95,444,62,434,35
41143,91143,1,72,479,3,477,2
41144,91144,5,136,80,133,81,105
41145,91145,5,15,387,31,396,9
41146,91146,2,103,427,30,428,25
41147,91147,1,32,559,3,544,0
41148,91148,2,132,389,60,390,34
41149,91149,4,21,580,18,489,8
41150,91150,3,181,361,145,358,88
41151,91151,2,69,472,16,463,10
41152,91152,4,104,432,82,424,60
41153,91153,2,73,468,30,465,17
41154,91154,1,157,361,17,362,16
41155,91155,2,138,378,59,372,29
41156,91156,4,156,387,166,382,94
41157,91157,2,158,362,60,361,39
41158,91158,2,146,380,57,375,42
41159,91159,5,158,83,155,89,98
41160,91160,3,113,417,99,414,61
41161,91161,3,4,617,0,4,0
41162,91162,5,170,90,160,82,118
41163,91163,2,182,347,81,340,63
41164,91164,4,99,458,74,443,56
41165,91165,4,142,401,127,395,87
41166,91166,2,194,332,114,341,63
41167,91167,2,50,474,9,466,8
41168,91168,2,163,365,66,365,46
41169,91169,2,6,107,0,6,0
41170,91170,2,147,373,48,373,34
41171,91171,1,53,510,0,510,0
